,100.0,127.0,161.291,204.842,260.151,330.394,419.603,532.899,676.786,859.524,1091.6,1386.35,1760.67,2236.07,2839.82,3606.6,4580.41,5817.16,7387.84,9382.62,11916.0,15133.42,19219.57,24409.02,30999.65,39369.82,50000.0
0.01,2381992.629898105,2743574.311003804,2494064.0640439764,2287769.4134000675,2301902.5947149796,2331956.736781843,2650551.305336726,2664686.7649980094,2721229.2973744213,2644894.4528405415,2571419.8412550213,2267823.2343421793,2211128.419809417,1791802.3204459683,1579641.3094961357,923122.7196616685,531099.4884827763,370615.1043273271,12472.191289246472,129614.8139681572,106562.44908763854,47140.45207910317,42426.40687119285,9428.090415820634,4714.045207910317,2828.42712474619,13912.424503139471
0.25,3814300.5766311716,2735365.098523819,2604269.997949948,2663748.4032009393,2531578.339473003,2101322.3349965983,1956754.682858556,1463633.2266733432,1208304.5973594573,920144.9161228174,1239175.353029407,623609.5644623236,449691.2521077347,170489.49136725898,317525.15210959624,86538.3665716478,8164.96580927726,50990.19513592785,4714.045207910317,113137.0849898476,88317.60866327847,26246.692913372706,16996.73171197595,26246.692913372706,15084.944665313014,10964.58946893235,11430.952132988165
1.0,21954099.844903685,26132199.96479439,22175028.184874985,18930134.706335295,17463103.96235446,15018238.911403693,12461340.216846662,9120409.804389274,6673220.736645836,4684815.898197068,2990819.285747636,2294967.3200287623,1610124.218810462,1053764.0865013383,764378.8327786163,542355.9716643674,388394.12971876905,279060.92524751654,232808.9345364563,157955.68998931313,133603.89215887387,92025.8115965298,76280.73151196179,72240.91638399944,50967.51416343552,39195.02519453202,37312.028891498245
