,100.0,127.0,161.291,204.842,260.151,330.394,419.603,532.899,676.786,859.524,1091.6,1386.35,1760.67,2236.07,2839.82,3606.6,4580.41,5817.16,7387.84,9382.62,11916.0,15133.42,19219.57,24409.02,30999.65,39369.82,50000.0
0.01,12016666.666666666,12060000.0,12086666.666666666,12183333.333333334,11973333.333333334,11703333.333333334,11426666.666666666,11116666.666666666,10676666.666666666,10280000.0,9790000.0,9046666.666666666,8396666.666666666,7473333.333333333,6510000.0,5883333.333333333,5120000.0,4303333.333333333,3746666.6666666665,3120000.0,2676666.6666666665,2003333.3333333333,1610000.0,1363333.3333333333,1016666.6666666666,822000.0,704333.3333333334
0.25,21733333.333333332,22433333.333333332,22066666.666666668,23066666.666666668,21133333.333333332,20266666.666666668,19566666.666666668,18766666.666666668,17400000.0,16100000.0,14266666.666666666,12533333.333333334,11433333.333333334,9450000.0,7976666.666666667,6673333.333333333,5520000.0,4520000.0,3686666.6666666665,2910000.0,2520000.0,1903333.3333333333,1526666.6666666667,1313333.3333333333,976666.6666666666,782666.6666666666,667000.0
1.0,36350000.0,37925000.0,35775000.0,34000000.0,32300000.0,29950000.0,27700000.0,24475000.0,21725000.0,19250000.0,16500000.0,14525000.0,12650000.0,10282500.0,8625000.0,7040000.0,5730000.0,4625000.0,3750000.0,2990000.0,2570000.0,1937500.0,1552500.0,1337500.0,1005250.0,810500.0,694750.0
